Trial	Day	Infected	Vaccinated
1	0	1200	0
1	1	2241	6066
1	2	2475	7057
1	3	2504	7247
1	4	2509	7284
1	5	1321	7291
1	6	268	7291
1	7	34	7291
1	8	5	7291
1	9	0	7291
2	0	1200	0
2	1	2241	6066
2	2	2475	7057
2	3	2504	7247
2	4	2509	7284
2	5	1321	7291
2	6	268	7291
2	7	34	7291
2	8	5	7291
2	9	0	7291
3	0	1200	0
3	1	2241	6066
3	2	2475	7057
3	3	2504	7247
3	4	2509	7284
3	5	1321	7291
3	6	268	7291
3	7	34	7291
3	8	5	7291
3	9	0	7291
4	0	1200	0
4	1	2241	6066
4	2	2475	7057
4	3	2504	7247
4	4	2509	7284
4	5	1321	7291
4	6	268	7291
4	7	34	7291
4	8	5	7291
4	9	0	7291
5	0	1200	0
5	1	2241	6066
5	2	2475	7057
5	3	2504	7247
5	4	2509	7284
5	5	1321	7291
5	6	268	7291
5	7	34	7291
5	8	5	7291
5	9	0	7291
6	0	1200	0
6	1	2208	6174
6	2	2398	7117
6	3	2433	7321
6	4	2440	7351
6	5	1251	7357
6	6	232	7360
6	7	42	7360
6	8	7	7360
6	9	0	7360
7	0	1200	0
7	1	2208	6174
7	2	2398	7117
7	3	2433	7321
7	4	2440	7351
7	5	1251	7357
7	6	232	7360
7	7	42	7360
7	8	7	7360
7	9	0	7360
8	0	1200	0
8	1	2208	6174
8	2	2398	7117
8	3	2433	7321
8	4	2440	7351
8	5	1251	7357
8	6	232	7360
8	7	42	7360
8	8	7	7360
8	9	0	7360
9	0	1200	0
9	1	2208	6174
9	2	2398	7117
9	3	2433	7321
9	4	2440	7351
9	5	1251	7357
9	6	232	7360
9	7	42	7360
9	8	7	7360
9	9	0	7360
10	0	1200	0
10	1	2208	6174
10	2	2398	7117
10	3	2433	7321
10	4	2440	7351
10	5	1251	7357
10	6	232	7360
10	7	42	7360
10	8	7	7360
10	9	0	7360
11	0	1200	0
11	1	2133	6121
11	2	2314	7246
11	3	2344	7431
11	4	2348	7445
11	5	1176	7449
11	6	217	7450
11	7	36	7450
11	8	6	7450
11	9	2	7450
11	10	0	7450
12	0	1200	0
12	1	2133	6121
12	2	2314	7246
12	3	2344	7431
12	4	2348	7445
12	5	1176	7449
12	6	217	7450
12	7	36	7450
12	8	6	7450
12	9	2	7450
12	10	0	7450
13	0	1200	0
13	1	2133	6121
13	2	2314	7246
13	3	2344	7431
13	4	2348	7445
13	5	1176	7449
13	6	217	7450
13	7	36	7450
13	8	6	7450
13	9	2	7450
13	10	0	7450
14	0	1200	0
14	1	2133	6121
14	2	2314	7246
14	3	2344	7431
14	4	2348	7445
14	5	1176	7449
14	6	217	7450
14	7	36	7450
14	8	6	7450
14	9	2	7450
14	10	0	7450
15	0	1200	0
15	1	2133	6121
15	2	2314	7246
15	3	2344	7431
15	4	2348	7445
15	5	1176	7449
15	6	217	7450
15	7	36	7450
15	8	6	7450
15	9	2	7450
15	10	0	7450
16	0	1200	0
16	1	2133	6121
16	2	2314	7246
16	3	2344	7431
16	4	2348	7445
16	5	1176	7449
16	6	217	7450
16	7	36	7450
16	8	6	7450
16	9	2	7450
16	10	0	7450
17	0	1200	0
17	1	2052	6198
17	2	2260	7255
17	3	2295	7457
17	4	2297	7492
17	5	1124	7498
17	6	246	7502
17	7	38	7502
17	8	3	7502
17	9	1	7502
17	10	0	7502
18	0	1200	0
18	1	2052	6198
18	2	2260	7255
18	3	2295	7457
18	4	2297	7492
18	5	1124	7498
18	6	246	7502
18	7	38	7502
18	8	3	7502
18	9	1	7502
18	10	0	7502
19	0	1200	0
19	1	2052	6198
19	2	2260	7255
19	3	2295	7457
19	4	2297	7492
19	5	1124	7498
19	6	246	7502
19	7	38	7502
19	8	3	7502
19	9	1	7502
19	10	0	7502
20	0	1200	0
20	1	2052	6198
20	2	2260	7255
20	3	2295	7457
20	4	2297	7492
20	5	1124	7498
20	6	246	7502
20	7	38	7502
20	8	3	7502
20	9	1	7502
20	10	0	7502
